species,family,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,Env_refs,dimensions,constriction,ld50_mg,species,ld50_error,Error_type,ld50_method,ld50_model_class,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g,max_prey_g
Crotalus_molossus,Viperidae,126,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1021,162.79845,286,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.63,Crotalus_molossus,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,0,16.7,0,83.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",53.045,237.65
Crotalus_molossus,Viperidae,126,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1021,162.79845,286,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.7,Crotalus_molossus,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,0,16.7,0,83.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",53.045,237.65
Crotalus_molossus,Viperidae,126,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1021,162.79845,286,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,8.36,Crotalus_molossus,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,0,16.7,0,83.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",53.045,237.65
Crotalus_oreganus,Viperidae,150,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1696,177.2528251,87.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.2,Crotalus_oreganus,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,150,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1696,177.2528251,87.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,4.3,Crotalus_oreganus,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,150,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1696,177.2528251,87.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.01,Crotalus_oreganus,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,75.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",231,177.2528251,15.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.38,Crotalus_oreganus,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,75.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",231,177.2528251,15.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.29,Crotalus_oreganus,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,75.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",231,177.2528251,15.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.5,Crotalus_oreganus,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,105.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",609,177.2528251,100.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.4,Crotalus_oreganus,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,105.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",609,177.2528251,100.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,6,Crotalus_oreganus,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,102.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",560,177.2528251,78.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,4.6,Crotalus_oreganus,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,162.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2145,177.2528251,90,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.84,Crotalus_oreganus,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,162.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2145,177.2528251,90,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.2,Crotalus_oreganus,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_oreganus,Viperidae,162.6,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2145,177.2528251,90,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.6,Crotalus_oreganus,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,2.3,10.3,2.3,0,85.1,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",328.12,880.88
Crotalus_pricei,Viperidae,65,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",149,291.8666667,6.1,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.07,Crotalus_pricei,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,67,3,0,30,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",27.83,203
Crotalus_pricei,Viperidae,65,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",149,291.8666667,6.1,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,11.5,Crotalus_pricei,,,im,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,67,3,0,30,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",27.83,203
Crotalus_pricei,Viperidae,65,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",149,291.8666667,6.1,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.25,Crotalus_pricei,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,67,3,0,30,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",27.83,203
Crotalus_pricei,Viperidae,65,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",149,291.8666667,6.1,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.95,Crotalus_pricei,,,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,0,0,67,3,0,30,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",27.83,203
Crotalus_ruber,Viperidae,162.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2141,169.24725,221,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.73,Crotalus_ruber,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,5.3,1.7,0,93,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA,NA
Crotalus_ruber,Viperidae,162.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2141,169.24725,221,"Glenn J.L. and Straight R.C. (1985) Venom properties of the rattlesnakes ( Crotalus ) inhabiting the Baja California region of Mexico. Toxicon, Vol. 23, p 769.; Mackessy, S.P., 1985. Fractionation of red diamond rattlesnake (Crotalus ruber ruber) venom: protease, phosphodiesterase, L-amino acid oxidase activities and effects of metal ions and inhibitors on protease activity. Toxicon, 23(2), pp.337-340.",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,21.25,Crotalus_ruber,,,sc,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,5.3,1.7,0,93,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA,NA
Crotalus_ruber,Viperidae,162.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",2141,169.24725,221,"Glenn J.L. and Straight R.C. (1985) Venom properties of the rattlesnakes ( Crotalus ) inhabiting the Baja California region of Mexico. Toxicon, Vol. 23, p 769.; Mackessy, S.P., 1985. Fractionation of red diamond rattlesnake (Crotalus ruber ruber) venom: protease, phosphodiesterase, L-amino acid oxidase activities and effects of metal ions and inhibitors on protease activity. Toxicon, 23(2), pp.337-340.",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,3.8,Crotalus_ruber,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,5.3,1.7,0,93,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA,NA
Crotalus_scutulatus,Viperidae,129,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1093,128.558,70,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.33,Crotalus_scutulatus,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,3.15,0,0,96.85,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",240.22,2554
Crotalus_scutulatus,Viperidae,129,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1093,128.558,70,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.2,Crotalus_scutulatus,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,3.15,0,0,96.85,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",240.22,2554
Crotalus_tigris,Viperidae,90,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",384,224.6085,11.7,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.056,Crotalus_tigris,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,39,3,0,58,no,"Goode, M.J. and M.D. Wall. 2002. Tiger rattlesnake ecology and management. Nongame and Endangered Wildlife Program Heritage Report. Arizona Game and Fish Department, Phoenix, Arizona.",NA,NA
Crotalus_tigris,Viperidae,90,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",384,224.6085,11.7,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.21,Crotalus_tigris,,,sc,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,39,3,0,58,no,"Goode, M.J. and M.D. Wall. 2002. Tiger rattlesnake ecology and management. Nongame and Endangered Wildlife Program Heritage Report. Arizona Game and Fish Department, Phoenix, Arizona.",NA,NA
Crotalus_tigris,Viperidae,90,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",384,224.6085,11.7,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,0.07,Crotalus_tigris,,,ip,mammal,Mus_musculus,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,39,3,0,58,no,"Goode, M.J. and M.D. Wall. 2002. Tiger rattlesnake ecology and management. Nongame and Endangered Wildlife Program Heritage Report. Arizona Game and Fish Department, Phoenix, Arizona.",NA,NA
Crotalus_tortugensis,Viperidae,105.8,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",614,96,63,"Glenn J.L. and Straight R.C. (1985) Venom properties of the rattlesnakes ( Crotalus ) inhabiting the Baja California region of Mexico. Toxicon, Vol. 23, p 769.",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.8,Crotalus_tortugensis,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,0,0,0,100,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",28.6,28.6
Crotalus_totonacus,Viperidae,105.8,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",614,130.6,277,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,2.5,Crotalus_totonacus,,,ip,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,0,17,0,83,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",351.39,465.14
Crotalus_viridis,Viperidae,162,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",2122,101.3366317,62,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.17,Crotalus_viridis,1.05-1.32,95_confidence_interval,iv,mammal,Mus_musculus,"Theakston, R.D.G. and Reid, H.A., 1983. Development of simple standard assay procedures for the characterization of snake venoms. Bulletin of the world health organization, 61(6), p.949.",0,0,0,0,9,0,91,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",34.22,42.53
Crotalus_viridis,Viperidae,162,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",2122,101.3366317,62,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.32,Crotalus_viridis,1.21-1.53,95_confidence_interval,iv,mammal,Mus_musculus,"Theakston, R.D.G. and Reid, H.A., 1983. Development of simple standard assay procedures for the characterization of snake venoms. Bulletin of the world health organization, 61(6), p.949.",0,0,0,0,9,0,91,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",34.22,42.53
Crotalus_willardi,Viperidae,64,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",142,164.0282399,3.1,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,no,1.61,Crotalus_willardi,,,iv,mammal,Mus_musculus,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,26.4,9.4,0,62.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",23.9,23.9
Daboia_russelii,Viperidae,150,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1696,456.2898421,190,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,"Srinivasulu, C. and Das, I., 2008. The herpetofauna of Nallamala Hills, Eastern Ghats, India: an annotated checklist, with remarks on nomenclature, taxonomy, habitat use, adaptive types and biogeography. Asiatic Herpetological Research, 11, pp.110-131.",1,no,0.08,Daboia_russelii,,,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,28,3,17,2,0,50,no,"AUFFENBERG, W. 1980. The herpetofauna of Komodo with notes on adjacent areas. Bull. Florida State Museum, Biol. Sci. 25(2):39-156. ; Whitaker, R., 2006. Common Indian snakes: a field guide. Macmillan. pp 154",2.46,22.74
Daboia_russelii,Viperidae,150,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1696,456.2898421,190,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,"Srinivasulu, C. and Das, I., 2008. The herpetofauna of Nallamala Hills, Eastern Ghats, India: an annotated checklist, with remarks on nomenclature, taxonomy, habitat use, adaptive types and biogeography. Asiatic Herpetological Research, 11, pp.110-131.",1,no,0.75,Daboia_russelii,,,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,28,3,17,2,0,50,no,"AUFFENBERG, W. 1980. The herpetofauna of Komodo with notes on adjacent areas. Bull. Florida State Museum, Biol. Sci. 25(2):39-156. ; Whitaker, R., 2006. Common Indian snakes: a field guide. Macmillan. pp 154",2.46,22.74
Daboia_russelii,Viperidae,150,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1696,456.2898421,67.3,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore.",terrestrial,"Srinivasulu, C. and Das, I., 2008. The herpetofauna of Nallamala Hills, Eastern Ghats, India: an annotated checklist, with remarks on nomenclature, taxonomy, habitat use, adaptive types and biogeography. Asiatic Herpetological Research, 11, pp.110-131.",1,no,0.6,Daboia_russelii,,,ip,mammal,Mus_musculus,"Maung-Maung-Thwin, P. Gopalakrishnakone, R. Yuen, C.H. Tan, A major lethal factor of the venom of Burmese Russell's viper (): Isolation, n-terminal sequencing and biological activities of daboiatoxin, Toxicon, Volume 33, Issue 1, 1995, Pages 63-76",0,28,3,17,2,0,50,no,"AUFFENBERG, W. 1980. The herpetofauna of Komodo with notes on adjacent areas. Bull. Florida State Museum, Biol. Sci. 25(2):39-156. ; Whitaker, R., 2006. Common Indian snakes: a field guide. Macmillan. pp 154",2.46,22.74
